[2021-07-13 17:36:46,864] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.406.8 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,864] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.415.4 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,864] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.415.5 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,865] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.432.1 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,865] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.436.2 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,865] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.440.3 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,865] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.443.2 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,866] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.459.4 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,866] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.459.5 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,866] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.459.6 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,867] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.482.1 because not in annotation (SQANTI/MatchAnnot) file.
